#ver:1.0
Project;Name;Type;CommUid;Offset;Length;ParentTypeFamily;HistoryId
Cervajs;$svetlo$;$bool$;1305;0;1;none;
Cervajs;$svetlo2$;$bool$;1304;0;1;none;
Cervajs;$kvitace_poruchy$;$bool$;1302;0;1;none;
Cervajs;$pluschlazeni$;$real$;1300;0;4;none;
Cervajs;$zadanakotel$;$real$;1299;0;4;none;
Cervajs;$teplotavystup$;$real$;1298;0;4;none;
Cervajs;$servo3bod_p$.$main$.$eno$;$bool$;1764;0;1;none;
Cervajs;$servo3bod_p$.$main$.$en$;$bool_1$;1765;0;1;none;
Cervajs;$alarms$.$v0_1$.$alarm$.$main$.$eno$;$bool$;1792;0;1;none;
Cervajs;$alarms$.$v0_1$.$alarm$.$main$.$en$;$bool_1$;1793;0;1;none;
Podluzany_projekt;$hw$.$imio10x_ao1$;$real$;2657;0;4;none;
Podluzany_projekt;$hw$.$imio10x_ao2$;$real$;2658;0;4;none;
Podluzany_projekt;$hw$.$imio10x_do5$;$bool$;2659;0;1;none;
Podluzany_projekt;$hw$.$imio10x_do6$;$bool$;2660;0;1;none;
Podluzany_projekt;$hw$.$imio10x_writeonchangegroup-swcnt4_forcecomm$;$bool$;2661;0;1;none;
Podluzany_projekt;$hw$.$imio10x_writeonchangegroup-swcnt4_commblock$;$bool$;2662;0;1;none;
Podluzany_projekt;$hw$.$imio10x_writeonchangegroup-swcnt4_timestamp$;$dt$;2663;0;8;none;
Podluzany_projekt;$hw$.$imio10x_writeonchangegroup-swcnt4_commerror$;$bool$;2664;0;1;none;
Podluzany_projekt;$hw$.$imio10x_writeonchangegroup-swcnt3_forcecomm$;$bool$;2665;0;1;none;
Podluzany_projekt;$hw$.$imio10x_writeonchangegroup-swcnt3_commblock$;$bool$;2666;0;1;none;
Podluzany_projekt;$hw$.$imio10x_writeonchangegroup-swcnt3_timestamp$;$dt$;2667;0;8;none;
Podluzany_projekt;$hw$.$imio10x_writeonchangegroup-swcnt3_commerror$;$bool$;2668;0;1;none;
Podluzany_projekt;$hw$.$imio10x_writeonchangegroup-swcnt2_forcecomm$;$bool$;2669;0;1;none;
Podluzany_projekt;$hw$.$imio10x_writeonchangegroup-swcnt2_commblock$;$bool$;2670;0;1;none;
Podluzany_projekt;$hw$.$imio10x_writeonchangegroup-swcnt2_timestamp$;$dt$;2671;0;8;none;
Podluzany_projekt;$hw$.$imio10x_writeonchangegroup-swcnt2_commerror$;$bool$;2672;0;1;none;
Podluzany_projekt;$hw$.$imio10x_writeonchangegroup-swcnt1_forcecomm$;$bool$;2673;0;1;none;
Podluzany_projekt;$hw$.$imio10x_writeonchangegroup-swcnt1_commblock$;$bool$;2674;0;1;none;
Podluzany_projekt;$hw$.$imio10x_writeonchangegroup-swcnt1_timestamp$;$dt$;2675;0;8;none;
Podluzany_projekt;$hw$.$imio10x_writeonchangegroup-swcnt1_commerror$;$bool$;2676;0;1;none;
Podluzany_projekt;$hw$.$imio10x_wcnt_di4$;$udint$;2677;0;4;none;
Podluzany_projekt;$hw$.$imio10x_cnt_di4$;$udint$;2678;0;4;none;
Podluzany_projekt;$hw$.$imio10x_writeonchangegroup-cnt3_forcecomm$;$bool$;2679;0;1;none;
Podluzany_projekt;$hw$.$imio10x_writeonchangegroup-cnt3_commblock$;$bool$;2680;0;1;none;
Podluzany_projekt;$hw$.$imio10x_writeonchangegroup-cnt3_timestamp$;$dt$;2681;0;8;none;
Podluzany_projekt;$hw$.$imio10x_writeonchangegroup-cnt3_commerror$;$bool$;2682;0;1;none;
Podluzany_projekt;$hw$.$imio10x_writeonchangegroup-cnt1_timestamp$;$dt$;2683;0;8;none;
Podluzany_projekt;$hw$.$imio10x_writeonchangegroup-cnt1_forcecomm$;$bool$;2684;0;1;none;
Podluzany_projekt;$hw$.$imio10x_writeonchangegroup-cnt1_commblock$;$bool$;2685;0;1;none;
Podluzany_projekt;$hw$.$imio10x_writeonchangegroup-cnt1_commerror$;$bool$;2686;0;1;none;
Podluzany_projekt;$hw$.$imio10x_writeonchangegroup-cnt2_forcecomm$;$bool$;2687;0;1;none;
Podluzany_projekt;$hw$.$imio10x_writeonchangegroup-cnt2_commblock$;$bool$;2688;0;1;none;
Podluzany_projekt;$hw$.$imio10x_writeonchangegroup-cnt2_timestamp$;$dt$;2689;0;8;none;
Podluzany_projekt;$hw$.$imio10x_writeonchangegroup-cnt2_commerror$;$bool$;2690;0;1;none;
Podluzany_projekt;$hw$.$imio10x_wcnt_di2$;$udint$;2691;0;4;none;
Podluzany_projekt;$hw$.$imio10x_wcnt_di3$;$udint$;2692;0;4;none;
Podluzany_projekt;$hw$.$imio10x_do2$;$bool$;2693;0;1;none;
Podluzany_projekt;$hw$.$imio10x_do3$;$bool$;2694;0;1;none;
Podluzany_projekt;$hw$.$imio10x_do4$;$bool$;2695;0;1;none;
Podluzany_projekt;$hw$.$imio10x_di4$;$bool$;2696;0;1;none;
Podluzany_projekt;$hw$.$imio10x_di2$;$bool$;2697;0;1;none;
Podluzany_projekt;$hw$.$imio10x_di3$;$bool$;2698;0;1;none;
Podluzany_projekt;$hw$.$imio10x_cnt_di2$;$udint$;2699;0;4;none;
Podluzany_projekt;$hw$.$imio10x_cnt_di3$;$udint$;2700;0;4;none;
Podluzany_projekt;$hw$.$imio10x_ai3$;$real$;2701;0;4;none;
Podluzany_projekt;$hw$.$imio10x_ai4$;$real$;2702;0;4;none;
Podluzany_projekt;$hw$.$imio10x_ai2$;$real$;2703;0;4;none;
Podluzany_projekt;$hw$.$imio10x_wcnt_di1$;$udint$;2704;0;4;none;
Podluzany_projekt;$hw$.$imio10x_ai1$;$real$;2705;0;4;none;
Podluzany_projekt;$hw$.$imio10x_writegroup_forcecomm$;$bool$;2706;0;1;none;
Podluzany_projekt;$hw$.$imio10x_writegroup_commblock$;$bool$;2707;0;1;none;
Podluzany_projekt;$hw$.$imio10x_writegroup_timestamp$;$dt$;2708;0;8;none;
Podluzany_projekt;$hw$.$imio10x_writegroup_commerror$;$bool$;2709;0;1;none;
Podluzany_projekt;$hw$.$imio10x_readgroup_forcecomm$;$bool$;2710;0;1;none;
Podluzany_projekt;$hw$.$imio10x_readgroup_commblock$;$bool$;2711;0;1;none;
Podluzany_projekt;$hw$.$imio10x_readgroup_timestamp$;$dt$;2712;0;8;none;
Podluzany_projekt;$hw$.$imio10x_readgroup_commerror$;$bool$;2713;0;1;none;
Podluzany_projekt;$hw$.$imio10x_do1$;$bool$;2714;0;1;none;
Podluzany_projekt;$hw$.$imio10x_cnt_di1$;$udint$;2715;0;4;none;
Podluzany_projekt;$hw$.$imio10x_di1$;$bool$;2716;0;1;none;
Podluzany_projekt;$hw$.$lambda_off_on$;$uint$;13635;0;2;none;
Podluzany_projekt;$hw$.$lambda_write_forcecomm$;$bool$;13636;0;1;none;
Podluzany_projekt;$hw$.$lambda_write_commblock$;$bool$;13637;0;1;none;
Podluzany_projekt;$hw$.$lambda_write_timestamp$;$dt$;13638;0;8;none;
Podluzany_projekt;$hw$.$lambda_write_commerror$;$bool$;13639;0;1;none;
Podluzany_projekt;$hw$.$lambda_data$;$hw$.$xd21cfe1535604da6b35530ad07041d08$;13640;0;50;none;
Podluzany_projekt;$hw$.$lambda_data$.$[0]$;$int$;13640;0;2;array;
Podluzany_projekt;$hw$.$lambda_data$.$[1]$;$int$;13640;2;2;array;
Podluzany_projekt;$hw$.$lambda_data$.$[2]$;$int$;13640;4;2;array;
Podluzany_projekt;$hw$.$lambda_data$.$[3]$;$int$;13640;6;2;array;
Podluzany_projekt;$hw$.$lambda_data$.$[4]$;$int$;13640;8;2;array;
Podluzany_projekt;$hw$.$lambda_data$.$[5]$;$int$;13640;10;2;array;
Podluzany_projekt;$hw$.$lambda_data$.$[6]$;$int$;13640;12;2;array;
Podluzany_projekt;$hw$.$lambda_data$.$[7]$;$int$;13640;14;2;array;
Podluzany_projekt;$hw$.$lambda_data$.$[8]$;$int$;13640;16;2;array;
Podluzany_projekt;$hw$.$lambda_data$.$[9]$;$int$;13640;18;2;array;
Podluzany_projekt;$hw$.$lambda_data$.$[10]$;$int$;13640;20;2;array;
Podluzany_projekt;$hw$.$lambda_data$.$[11]$;$int$;13640;22;2;array;
Podluzany_projekt;$hw$.$lambda_data$.$[12]$;$int$;13640;24;2;array;
Podluzany_projekt;$hw$.$lambda_data$.$[13]$;$int$;13640;26;2;array;
Podluzany_projekt;$hw$.$lambda_data$.$[14]$;$int$;13640;28;2;array;
Podluzany_projekt;$hw$.$lambda_data$.$[15]$;$int$;13640;30;2;array;
Podluzany_projekt;$hw$.$lambda_data$.$[16]$;$int$;13640;32;2;array;
Podluzany_projekt;$hw$.$lambda_data$.$[17]$;$int$;13640;34;2;array;
Podluzany_projekt;$hw$.$lambda_data$.$[18]$;$int$;13640;36;2;array;
Podluzany_projekt;$hw$.$lambda_data$.$[19]$;$int$;13640;38;2;array;
Podluzany_projekt;$hw$.$lambda_data$.$[20]$;$int$;13640;40;2;array;
Podluzany_projekt;$hw$.$lambda_data$.$[21]$;$int$;13640;42;2;array;
Podluzany_projekt;$hw$.$lambda_data$.$[22]$;$int$;13640;44;2;array;
Podluzany_projekt;$hw$.$lambda_data$.$[23]$;$int$;13640;46;2;array;
Podluzany_projekt;$hw$.$lambda_data$.$[24]$;$int$;13640;48;2;array;
